SKU,Price_pcbuild
1A1-G00425900H,1689.0
NE7507T019T2-GB2031U,1756.0
NE75060S19P1-GB2062D,675.0
NE75060S19P1-GB2063D,678.72
NE75060T19P1-GB2063S,678.72
11350-02-20G,843.36
RX9060XT CL 16GO,821.0
ZT-B50600E-10M,703.0
ZT-B50600H-10M,716.0
C50803-16D7X-176069H,2850.0
N506T3-16D7X-191073L,1023.0
N506T2-16D7X-191073N,995.0
N506T3-08D7X-193075L,933.0
N50602-08D7-195071N,690.0
ZT-B50600F-10M,752.0
ZT-A30600E-10M,635.0
90YV0MD3-M0NA00,2180.64
912-V535-003,971.04
90YV0M17-M0NA00,1262.0
90YV0M80-M0NA00,1764.0
90YV0N12-M0NA00,683.0
90YV0MH0-M0NA00,990.0
GV-N5060WF2OC-8GD,723.0
GV-N5060OC-8GL,723.0
912-V531-057,2071.44
912-V535-005,1014.72
1A1-G00433900G,734.0
1A1-G00434300G,771.0
1A1-G00433800G,834.0
1A1-G00433700G,871.0
RX9060XT CL 8GO,715.0
11350-04-20G,692.16
90YV0MI0-M0NA00,801.36
ZT-B50710B-10P,2112.0
ZT-P10300A-10L,227.0
GV-N5060GAMING OC-8GD,761.0
GV-N5060EAGLE OC-8GD,712.0
GV-N506TWF2OC-8GD,939.0
GV-N506TEAGLEOC ICE-8GD,972.0
GV-N506TGAMING OC-8GD,990.0
GV-R9060XTGAMING OC-16GD,942.0
GV-R9060XTGAMING OC-8GD,803.0
90YV0M90-M0NA00,2400.0
90YV0M19-M0NA00,1541.0
NE75090019R5-GB2020P,5019.84
NE75090S19R5-GB2020P,5263.44
NE75060019P1-GB2063S,660.24
912-V530-018,5676.72
11348-02-20G,1546.0
11349-01-20G,1375.92
ZT-B50710D3-10P,1915.0
ZT-B50610F-10M,996.0
ZT-B50610E-10M,932.0
ZT-B50610H-10M,957.0
ZT-B50700D-10P,1364.0
ZT-B50700FQ-10P,1495.0
ZT-71310-10L,97.0
ZT-B50700E-10P,1296.0
ZT-B50700H-10P,1384.0
ZT-B50620E-10M,1048.0
ZT-B50620H-10M,1074.0
ZT-B50620F-10M,1107.0
912-V812-080,915.6
NE7506T019P1-GB2062D,787.92
NE75080019T2-GB2031Y,2316.72
912-V535-006,1046.64
912-V530-012,5594.4
NE75080019T2-GB2030P,2544.0
NE75080T19T2-GB2030G,2531.76
90YV0MP2-M0NA00,887.04
912-V532-005,1204.0
NE7507T019T2-GB2031Y,1735.44
N50702-12D7X-195064W,1399.0
11349-01-20G,1660.0
97TRGBBB9,1850.0
ZT-B50700J-10P,1429.0
90YV0LW2-M0NA00,6930.0
912-V536-005,944.16
90YV0MG0-M0NA00,1181.04
NE7506T019T1-GB2061S,1036.0
NE7507TS19T2-GB2031Y,1794.24
ZT-B50710J3-10P,2149.0
1A1-G00432900G,1857.0
GV-N5090AORUSM ICE-32GD,5612.88
90YV0L70-M0NA00,1666.56
11348-01-20G,1654.0
GV-N5090GAMING OC-32GD,5127.36
GV-R9070XTAORUS E-16GD,1656.48
NE75070019K9-GB2050S,1283.0
N507T3-16D7X-176068N,1890.0
GV-N5090AORUSX W-32GD,6268.0
GV-N5070AERO OC-12GD,1599.0
GV-N5070AORUS M-12GD,1827.0
GV-N5080AERO OC-16GD,2723.28
GV-N5080WF3OC-16GD,2725.0
RX9070 CL 16G,1358.0
N50702-12D7-195064N,1276.0
N50803-16D7X-17603930,2616.0
ZT-B50800B-10P,2669.0
912-V531-003,2701.44
GV-N507TAERO OC-16GD,2136.0
GV-N507TEAGLEOC ICE-16GD,1989.0
GV-N507TEAGLE OC-16GD,1964.0
GV-N507TWF3OC-16GD,1846.32
GV-N507TGAMING OC-16GD,1995.84
GV-N5080GAMING OC-16GD,2719.92
912-V530-011,6011.0
11348-03-20G,1505.28
912-V531-081,2199.0
90YV0M10-M0NA00,1270.08
90YV0LZ0-M0NA00,1528.8
90YV0LI0-M0NA00,1459.92
GV-R9070GAMING OC-16GD,1270.08
RX9070 16G-L/OC,1353.0
1A1-G00425900G,1615.0
GV-R9070XTGAMING OC-16GD,1530.48
RX9070XT SL 16G,1440.0
RX9070XT TC 16GO,1767.0
912-V532-029,1428.0
912-V531-204,1876.56
NE7507T019T2-GB2030P,1811.04
NE75080019T2-GB2030G,2459.52
90YV0LD0-M0NA00,532.56
B570 CL 10GO,540.0
B580 CL 12GO,659.0
B580 SL 12GO,672.0
90YV0JCB-M0NA00,719.0
912-V809-4402,110.88
VCNRTX4000ADA-PB,3371.0
NE640600119P1-1070F,599.76
90YV0JC7-M0NA00,628.32
90YV0JC4-M0NA00,607.0
90YV0J49-M0NA00,800.0
NE64060019P1-1070L,609.84
VCNRTXA1000-PB,999.0
912-V812-025,369.6
11339-04-20G,705.6
90YV0JJ1-M0NA00,1233.0
VN3606TM82,747.0
RX7900XT PGW 20GO,1979.0
11330-02-20G,1123.0
912-V809-4287,449.0
RX7800XT 16G-E/OC,1300.0
GV-N406TWF2OC-8GD,917.0
GV-N4060WF2OC-8GD,624.96
GV-N4060GAMING OC-8GD,672.0
GV-N4060AERO OC-8GD,761.0
GV-N406TGAMING OC-8GD,905.52
RX7600 SL 8GO,653.0
GV-N406TEAGLE OC-8GD,850.08
RX 7600 8G-F,505.0
RX 7600 CL 8GO,530.0
912-V516-004,606.48
RTX_4060_GAMING_X_8G,650.16
NE6406T019P1-1060B,784.56
NE6406T019P1-1060D,765.0
RTX_4060_TI_GAMING_X_8G,861.84
912-V515-017,808.0
RX7900XTX TCW 24GO,2070.0
GV-N3060GAMING OC-8GD,623.0
VN3706RM82,880.0
RX7900XTX 24G-L/OC,1972.0
RX-79XMERCB9,2040.0
RX-79TMERCU9,1599.0
GV-N3060WF2OC-12GD,581.28
A380 CLI 6GO,265.0
RX6600 CLD 8G,432.0
AXR7 240 4GBD5-HLEV2,221.0
VA5505RF41,182.0
N730-4GD3V2,141.12
GT1030-SL-2G-BRK,179.76
NVIDIA GeForce GT 710,97.0
